agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
227,v,155,227,,,7,8,"LINESTRING(-109.552491 37.2840426,-109.5406439 37.2840387)",0740
228,v,178,180,,,7,8,"LINESTRING(-109.5540142 37.2838359,-109.5419113 37.287715)",0723
229,v,176,15,,83629497.0,7,9,"LINESTRING(-109.5448831 37.2860932,-109.5713788 37.2830515)",0722
230,v,172,189,,,7,9,"LINESTRING(-109.5524528 37.283771,-109.577207 37.278781)",0759
231,v,203,189,,,7,9,"LINESTRING(-109.5558592 37.2854583,-109.577207 37.278781)",0741
232,v,253,71,,83771332.0,7,9,"LINESTRING(-109.5533375 37.283576,-109.5722736 37.2803191)",0759
233,v,226,14,,83629496.0,7,9,"LINESTRING(-109.5533622 37.2838591,-109.5698717 37.2831853)",0730
234,v,233,14,,83629496.0,7,9,"LINESTRING(-109.5530985 37.2841156,-109.5698717 37.2831853)",0703
235,v,165,71,,83771332.0,7,9,"LINESTRING(-109.5565946 37.2854171,-109.5722736 37.2803191)",0720
236,v,122,166,6578195588.0,,7,9,"LINESTRING(-109.5519334 37.2835771,-109.571447 37.2801683)",0744
237,v,148,20,,83629534.0,7,9,"LINESTRING(-109.5527205 37.284306,-109.571338 37.282287)",0706
238,v,201,15,,83629497.0,7,9,"LINESTRING(-109.5562853 37.2851866,-109.5713788 37.2830515)",0757
239,v,232,254,,,7,9,"LINESTRING(-109.5539955 37.284703,-109.5725302 37.2800833)",0714
240,v,37,79,83713259.0,1030019391.0,7,9,"LINESTRING(-109.5536859 37.285694,-109.5779966 37.2831107)",0714
241,v,105,20,3634636956.0,83629534.0,7,9,"LINESTRING(-109.5534637 37.2877532,-109.571338 37.282287)",0737
242,v,247,54,,83737769.0,7,9,"LINESTRING(-109.5523816 37.2841775,-109.571271 37.2813213)",0716
243,v,37,15,83713259.0,83629497.0,7,9,"LINESTRING(-109.5536859 37.285694,-109.5713788 37.2830515)",0737
