agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
20,v,3044,1505,,5333540007.0,1,17,"LINESTRING(-111.9446676 33.4300474,-111.938222 33.4176349)",0718
21,v,3048,352,,2625359004.0,1,17,"LINESTRING(-111.9439325 33.4283066,-111.9398468 33.4176189)",0718
22,v,2931,22,,41533540.0,1,17,"LINESTRING(-111.9404432 33.4291212,-111.94123 33.4176195)",0748
23,v,3043,2337,,7121930882.0,1,18,"LINESTRING(-111.944818 33.42935,-111.9352405 33.4160982)",0757
24,v,3041,1157,,5264800471.0,1,18,"LINESTRING(-111.944463 33.4300281,-111.9334577 33.4173564)",0740
25,v,3045,3032,,,1,19,"LINESTRING(-111.9446671 33.429926,-111.9255791 33.4153903)",0731
26,v,3043,2885,,,1,19,"LINESTRING(-111.944818 33.42935,-111.9257357 33.4157085)",0728
27,v,1926,2870,5641347330.0,,1,20,"LINESTRING(-111.9443125 33.4283045,-111.9210933 33.4162654)",0745
28,v,3046,670,,5047020640.0,1,20,"LINESTRING(-111.9449178 33.4302576,-111.9210239 33.4167206)",0738
29,v,3043,2589,,,1,23,"LINESTRING(-111.944818 33.42935,-111.945 33.4221321)",0719
30,v,2120,2245,5697244757.0,6700916792.0,1,26,"LINESTRING(-111.9442568 33.4295279,-111.9391455 33.4263105)",0730
